dataset,fold,p,k,feature_ratio,feature_pct,baseline_auc,baseline_accuracy,etree_auc,etree_accuracy,stg_auc,stg_accuracy,lspin_auc,lspin_accuracy,etree_auc_delta,stg_auc_delta,lspin_auc_delta,etree_accuracy_delta,stg_accuracy_delta,lspin_accuracy_delta
Breast,1,24481,24481,1.0,100.0,0.615,0.55,0.615,0.55,0.615,0.55,0.615,0.55,0.0,0.0,0.0,0.0,0.0,0.0
Breast,2,24481,24481,1.0,100.0,0.9494949494949495,0.85,0.9494949494949495,0.85,0.9494949494949495,0.85,0.9494949494949495,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Breast,3,24481,24481,1.0,100.0,0.6277777777777777,0.5789473684210527,0.6277777777777777,0.5789473684210527,0.6277777777777777,0.5789473684210527,0.6277777777777777,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0
Breast,4,24481,24481,1.0,100.0,0.8333333333333333,0.8421052631578947,0.8333333333333333,0.8421052631578947,0.8333333333333333,0.8421052631578947,0.8333333333333333,0.8421052631578947,0.0,0.0,0.0,0.0,0.0,0.0
Breast,5,24481,24481,1.0,100.0,0.7666666666666667,0.6842105263157895,0.7666666666666667,0.6842105263157895,0.7666666666666667,0.6842105263157895,0.7666666666666667,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0
Breast,1,24481,22033,0.9,90.0,0.615,0.55,0.63,0.55,0.63,0.55,0.63,0.55,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.0,0.0,0.0
Breast,2,24481,22033,0.9,90.0,0.9494949494949495,0.85,0.8585858585858586,0.8,0.9242424242424243,0.85,0.8737373737373737,0.8,-0.09090909090909094,-0.025252525252525193,-0.0757575757575758,-0.04999999999999993,0.0,-0.04999999999999993
Breast,3,24481,22033,0.9,90.0,0.6277777777777777,0.5789473684210527,0.6555555555555556,0.5789473684210527,0.611111111111111,0.631578947368421,0.6722222222222222,0.5263157894736842,0.0277777777777779,-0.016666666666666607,0.04444444444444451,0.0,0.05263157894736836,-0.052631578947368474
Breast,4,24481,22033,0.9,90.0,0.8333333333333333,0.8421052631578947,0.8666666666666667,0.7894736842105263,0.8222222222222222,0.7894736842105263,0.8555555555555556,0.7894736842105263,0.03333333333333344,-0.011111111111111072,0.022222222222222365,-0.05263157894736836,-0.05263157894736836,-0.05263157894736836
Breast,5,24481,22033,0.9,90.0,0.7666666666666667,0.6842105263157895,0.7777777777777778,0.6842105263157895,0.8222222222222222,0.6842105263157895,0.8222222222222222,0.7368421052631579,0.011111111111111072,0.05555555555555547,0.05555555555555547,0.0,0.0,0.05263157894736836
Breast,1,24481,19585,0.8,80.0,0.615,0.55,0.61,0.55,0.63,0.55,0.615,0.55,-0.0050000000000000044,0.015000000000000013,0.0,0.0,0.0,0.0
Breast,2,24481,19585,0.8,80.0,0.9494949494949495,0.85,0.898989898989899,0.85,0.8686868686868687,0.8,0.8484848484848485,0.8,-0.0505050505050505,-0.08080808080808077,-0.101010101010101,0.0,-0.04999999999999993,-0.04999999999999993
Breast,3,24481,19585,0.8,80.0,0.6277777777777777,0.5789473684210527,0.6277777777777778,0.631578947368421,0.6444444444444444,0.631578947368421,0.6166666666666667,0.5789473684210527,1.1102230246251565e-16,0.01666666666666672,-0.01111111111111096,0.05263157894736836,0.05263157894736836,0.0
Breast,4,24481,19585,0.8,80.0,0.8333333333333333,0.8421052631578947,0.8333333333333334,0.8421052631578947,0.8333333333333333,0.7368421052631579,0.8333333333333333,0.8421052631578947,1.1102230246251565e-16,0.0,0.0,0.0,-0.10526315789473684,0.0
Breast,5,24481,19585,0.8,80.0,0.7666666666666667,0.6842105263157895,0.8166666666666667,0.7368421052631579,0.7777777777777779,0.631578947368421,0.8111111111111111,0.6842105263157895,0.04999999999999993,0.011111111111111183,0.0444444444444444,0.05263157894736836,-0.052631578947368474,0.0
Breast,1,24481,17137,0.7,70.0,0.615,0.55,0.62,0.5,0.62,0.55,0.62,0.55,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,-0.050000000000000044,0.0,0.0
Breast,2,24481,17137,0.7,70.0,0.9494949494949495,0.85,0.8535353535353535,0.8,0.898989898989899,0.8,0.898989898989899,0.8,-0.09595959595959602,-0.0505050505050505,-0.0505050505050505,-0.04999999999999993,-0.04999999999999993,-0.04999999999999993
Breast,3,24481,17137,0.7,70.0,0.6277777777777777,0.5789473684210527,0.6222222222222222,0.5263157894736842,0.6222222222222222,0.631578947368421,0.6055555555555555,0.631578947368421,-0.005555555555555425,-0.005555555555555425,-0.022222222222222143,-0.052631578947368474,0.05263157894736836,0.05263157894736836
Breast,4,24481,17137,0.7,70.0,0.8333333333333333,0.8421052631578947,0.7666666666666667,0.6842105263157895,0.8444444444444446,0.7894736842105263,0.8555555555555555,0.7368421052631579,-0.06666666666666654,0.011111111111111294,0.022222222222222254,-0.1578947368421052,-0.05263157894736836,-0.10526315789473684
Breast,5,24481,17137,0.7,70.0,0.7666666666666667,0.6842105263157895,0.7222222222222222,0.631578947368421,0.8111111111111111,0.631578947368421,0.8055555555555556,0.6842105263157895,-0.04444444444444451,0.0444444444444444,0.03888888888888886,-0.052631578947368474,-0.052631578947368474,0.0
Breast,1,24481,14689,0.6,60.0,0.615,0.55,0.62,0.55,0.62,0.5,0.59,0.55,0.0050000000000000044,0.0050000000000000044,-0.025000000000000022,0.0,-0.050000000000000044,0.0
Breast,2,24481,14689,0.6,60.0,0.9494949494949495,0.85,0.8686868686868686,0.8,0.8686868686868687,0.85,0.9191919191919193,0.8,-0.08080808080808088,-0.08080808080808077,-0.030303030303030165,-0.04999999999999993,0.0,-0.04999999999999993
Breast,3,24481,14689,0.6,60.0,0.6277777777777777,0.5789473684210527,0.6277777777777778,0.5789473684210527,0.6222222222222221,0.631578947368421,0.6444444444444444,0.631578947368421,1.1102230246251565e-16,-0.005555555555555536,0.01666666666666672,0.0,0.05263157894736836,0.05263157894736836
Breast,4,24481,14689,0.6,60.0,0.8333333333333333,0.8421052631578947,0.8055555555555556,0.8421052631578947,0.8666666666666667,0.7894736842105263,0.8,0.7368421052631579,-0.02777777777777768,0.03333333333333344,-0.033333333333333215,0.0,-0.05263157894736836,-0.10526315789473684
Breast,5,24481,14689,0.6,60.0,0.7666666666666667,0.6842105263157895,0.7555555555555555,0.631578947368421,0.8111111111111111,0.7368421052631579,0.8,0.631578947368421,-0.011111111111111183,0.0444444444444444,0.033333333333333326,-0.052631578947368474,0.05263157894736836,-0.052631578947368474
Breast,1,24481,12240,0.5,50.0,0.615,0.55,0.6000000000000001,0.55,0.55,0.55,0.59,0.5,-0.014999999999999902,-0.06499999999999995,-0.025000000000000022,0.0,0.0,-0.050000000000000044
Breast,2,24481,12240,0.5,50.0,0.9494949494949495,0.85,0.8686868686868687,0.8,0.8888888888888888,0.9,0.8686868686868687,0.7,-0.08080808080808077,-0.06060606060606066,-0.08080808080808077,-0.04999999999999993,0.050000000000000044,-0.15000000000000002
Breast,3,24481,12240,0.5,50.0,0.6277777777777777,0.5789473684210527,0.6111111111111112,0.5789473684210527,0.611111111111111,0.631578947368421,0.6388888888888888,0.5789473684210527,-0.016666666666666496,-0.016666666666666607,0.011111111111111183,0.0,0.05263157894736836,0.0
Breast,4,24481,12240,0.5,50.0,0.8333333333333333,0.8421052631578947,0.8555555555555556,0.7894736842105263,0.8555555555555556,0.8421052631578947,0.8333333333333334,0.7368421052631579,0.022222222222222365,0.022222222222222365,1.1102230246251565e-16,-0.05263157894736836,0.0,-0.10526315789473684
Breast,5,24481,12240,0.5,50.0,0.7666666666666667,0.6842105263157895,0.7777777777777778,0.631578947368421,0.7666666666666667,0.6842105263157895,0.7833333333333333,0.6842105263157895,0.011111111111111072,0.0,0.016666666666666607,-0.052631578947368474,0.0,0.0
Breast,1,24481,9792,0.4,40.0,0.615,0.55,0.64,0.55,0.6000000000000001,0.55,0.5599999999999999,0.45,0.025000000000000022,-0.014999999999999902,-0.05500000000000005,0.0,0.0,-0.10000000000000003
Breast,2,24481,9792,0.4,40.0,0.9494949494949495,0.85,0.9090909090909091,0.8,0.8686868686868687,0.75,0.9090909090909092,0.85,-0.04040404040404044,-0.08080808080808077,-0.04040404040404033,-0.04999999999999993,-0.09999999999999998,0.0
Breast,3,24481,9792,0.4,40.0,0.6277777777777777,0.5789473684210527,0.6333333333333333,0.5263157894736842,0.6444444444444444,0.631578947368421,0.6333333333333333,0.5789473684210527,0.005555555555555647,0.01666666666666672,0.005555555555555647,-0.052631578947368474,0.05263157894736836,0.0
Breast,4,24481,9792,0.4,40.0,0.8333333333333333,0.8421052631578947,0.8666666666666667,0.7894736842105263,0.8777777777777779,0.7894736842105263,0.8166666666666667,0.7368421052631579,0.03333333333333344,0.04444444444444462,-0.016666666666666607,-0.05263157894736836,-0.05263157894736836,-0.10526315789473684
Breast,5,24481,9792,0.4,40.0,0.7666666666666667,0.6842105263157895,0.7777777777777778,0.631578947368421,0.8222222222222222,0.7368421052631579,0.7777777777777778,0.631578947368421,0.011111111111111072,0.05555555555555547,0.011111111111111072,-0.052631578947368474,0.05263157894736836,-0.052631578947368474
Breast,1,24481,7344,0.3,30.0,0.615,0.55,0.67,0.5,0.63,0.55,0.65,0.6,0.05500000000000005,0.015000000000000013,0.03500000000000003,-0.050000000000000044,0.0,0.04999999999999993
Breast,2,24481,7344,0.3,30.0,0.9494949494949495,0.85,0.9191919191919192,0.85,0.8282828282828283,0.8,0.8737373737373738,0.8,-0.030303030303030276,-0.12121212121212122,-0.07575757575757569,0.0,-0.04999999999999993,-0.04999999999999993
Breast,3,24481,7344,0.3,30.0,0.6277777777777777,0.5789473684210527,0.6444444444444444,0.5789473684210527,0.6555555555555557,0.631578947368421,0.6222222222222222,0.47368421052631576,0.01666666666666672,0.027777777777778012,-0.005555555555555425,0.0,0.05263157894736836,-0.10526315789473689
Breast,4,24481,7344,0.3,30.0,0.8333333333333333,0.8421052631578947,0.8222222222222222,0.8421052631578947,0.8444444444444444,0.7894736842105263,0.8333333333333334,0.8421052631578947,-0.011111111111111072,0.011111111111111183,1.1102230246251565e-16,0.0,-0.05263157894736836,0.0
Breast,5,24481,7344,0.3,30.0,0.7666666666666667,0.6842105263157895,0.7777777777777778,0.6842105263157895,0.7666666666666667,0.631578947368421,0.7777777777777779,0.7368421052631579,0.011111111111111072,0.0,0.011111111111111183,0.0,-0.052631578947368474,0.05263157894736836
Breast,1,24481,4896,0.2,20.0,0.615,0.55,0.63,0.55,0.655,0.5,0.6,0.5,0.015000000000000013,0.040000000000000036,-0.015000000000000013,0.0,-0.050000000000000044,-0.050000000000000044
Breast,2,24481,4896,0.2,20.0,0.9494949494949495,0.85,0.898989898989899,0.8,0.8989898989898989,0.85,0.9292929292929293,0.8,-0.0505050505050505,-0.05050505050505061,-0.02020202020202022,-0.04999999999999993,0.0,-0.04999999999999993
Breast,3,24481,4896,0.2,20.0,0.6277777777777777,0.5789473684210527,0.6444444444444445,0.5263157894736842,0.6444444444444445,0.5789473684210527,0.6500000000000001,0.5789473684210527,0.01666666666666683,0.01666666666666683,0.022222222222222476,-0.052631578947368474,0.0,0.0
Breast,4,24481,4896,0.2,20.0,0.8333333333333333,0.8421052631578947,0.8500000000000001,0.7894736842105263,0.9333333333333333,0.7894736842105263,0.8666666666666667,0.7894736842105263,0.01666666666666683,0.10000000000000009,0.03333333333333344,-0.05263157894736836,-0.05263157894736836,-0.05263157894736836
Breast,5,24481,4896,0.2,20.0,0.7666666666666667,0.6842105263157895,0.7666666666666667,0.6842105263157895,0.7722222222222223,0.631578947368421,0.7777777777777778,0.631578947368421,0.0,0.005555555555555536,0.011111111111111072,0.0,-0.052631578947368474,-0.052631578947368474
Breast,1,24481,2448,0.1,10.0,0.615,0.55,0.69,0.6,0.61,0.55,0.5850000000000001,0.5,0.07499999999999996,-0.0050000000000000044,-0.029999999999999916,0.04999999999999993,0.0,-0.050000000000000044
Breast,2,24481,2448,0.1,10.0,0.9494949494949495,0.85,0.8686868686868687,0.85,0.9090909090909091,0.75,0.8787878787878788,0.8,-0.08080808080808077,-0.04040404040404044,-0.07070707070707072,0.0,-0.09999999999999998,-0.04999999999999993
Breast,3,24481,2448,0.1,10.0,0.6277777777777777,0.5789473684210527,0.6666666666666667,0.5789473684210527,0.5777777777777777,0.5263157894736842,0.611111111111111,0.5789473684210527,0.038888888888889084,-0.04999999999999993,-0.016666666666666607,0.0,-0.052631578947368474,0.0
Breast,4,24481,2448,0.1,10.0,0.8333333333333333,0.8421052631578947,0.8722222222222222,0.8421052631578947,0.8444444444444446,0.8947368421052632,0.8888888888888888,0.8421052631578947,0.03888888888888897,0.011111111111111294,0.05555555555555558,0.0,0.052631578947368474,0.0
Breast,5,24481,2448,0.1,10.0,0.7666666666666667,0.6842105263157895,0.7888888888888889,0.6842105263157895,0.8111111111111111,0.6842105263157895,0.8,0.7368421052631579,0.022222222222222143,0.0444444444444444,0.033333333333333326,0.0,0.0,0.05263157894736836
Breast,1,24481,1224,0.05,5.0,0.615,0.55,0.65,0.55,0.5700000000000001,0.45,0.5499999999999999,0.55,0.03500000000000003,-0.04499999999999993,-0.06500000000000006,0.0,-0.10000000000000003,0.0
Breast,2,24481,1224,0.05,5.0,0.9494949494949495,0.85,0.898989898989899,0.85,0.8383838383838383,0.75,0.9141414141414143,0.85,-0.0505050505050505,-0.11111111111111116,-0.03535353535353525,0.0,-0.09999999999999998,0.0
Breast,3,24481,1224,0.05,5.0,0.6277777777777777,0.5789473684210527,0.6444444444444444,0.5789473684210527,0.6111111111111112,0.5789473684210527,0.6055555555555555,0.631578947368421,0.01666666666666672,-0.016666666666666496,-0.022222222222222143,0.0,0.0,0.05263157894736836
Breast,4,24481,1224,0.05,5.0,0.8333333333333333,0.8421052631578947,0.8333333333333333,0.7894736842105263,0.8444444444444444,0.7894736842105263,0.8888888888888888,0.8947368421052632,0.0,0.011111111111111183,0.05555555555555558,-0.05263157894736836,-0.05263157894736836,0.052631578947368474
Breast,5,24481,1224,0.05,5.0,0.7666666666666667,0.6842105263157895,0.8333333333333333,0.631578947368421,0.8111111111111111,0.6842105263157895,0.688888888888889,0.631578947368421,0.06666666666666654,0.0444444444444444,-0.07777777777777772,-0.052631578947368474,0.0,-0.052631578947368474
madelon,1,500,500,1.0,100.0,0.7570118343195266,0.6884615384615385,0.7570118343195266,0.6884615384615385,0.7570118343195266,0.6884615384615385,0.7570118343195266,0.6884615384615385,0.0,0.0,0.0,0.0,0.0,0.0
madelon,2,500,500,1.0,100.0,0.7416124260355029,0.6673076923076923,0.7416124260355029,0.6673076923076923,0.7416124260355029,0.6673076923076923,0.7416124260355029,0.6673076923076923,0.0,0.0,0.0,0.0,0.0,0.0
madelon,3,500,500,1.0,100.0,0.7916568047337278,0.7173076923076923,0.7916568047337278,0.7173076923076923,0.7916568047337278,0.7173076923076923,0.7916568047337278,0.7173076923076923,0.0,0.0,0.0,0.0,0.0,0.0
madelon,4,500,500,1.0,100.0,0.78801775147929,0.7288461538461538,0.78801775147929,0.7288461538461538,0.78801775147929,0.7288461538461538,0.78801775147929,0.7288461538461538,0.0,0.0,0.0,0.0,0.0,0.0
madelon,5,500,500,1.0,100.0,0.7575221893491124,0.6942307692307692,0.7575221893491124,0.6942307692307692,0.7575221893491124,0.6942307692307692,0.7575221893491124,0.6942307692307692,0.0,0.0,0.0,0.0,0.0,0.0
madelon,1,500,450,0.9,90.0,0.7570118343195266,0.6884615384615385,0.7663091715976331,0.6903846153846154,0.7642529585798815,0.6942307692307692,0.7424038461538461,0.6673076923076923,0.009297337278106554,0.0072411242603549475,-0.01460798816568043,0.0019230769230769162,0.005769230769230749,-0.02115384615384619
madelon,2,500,450,0.9,90.0,0.7416124260355029,0.6673076923076923,0.7505547337278107,0.6788461538461539,0.7509097633136094,0.675,0.742758875739645,0.6653846153846154,0.00894230769230775,0.009297337278106443,0.0011464497041421273,0.011538461538461608,0.007692307692307776,-0.0019230769230769162
madelon,3,500,450,0.9,90.0,0.7916568047337278,0.7173076923076923,0.787707100591716,0.7076923076923077,0.7879215976331361,0.725,0.7894600591715977,0.7192307692307692,-0.0039497041420117895,-0.00373520710059172,-0.00219674556213012,-0.009615384615384581,0.007692307692307665,0.0019230769230769162
madelon,4,500,450,0.9,90.0,0.78801775147929,0.7288461538461538,0.7893565088757396,0.7115384615384616,0.8011316568047336,0.7134615384615385,0.8029437869822486,0.725,0.001338757396449619,0.013113905325443653,0.014926035502958568,-0.017307692307692246,-0.01538461538461533,-0.0038461538461538325
