dataset,p,k,feature_ratio,feature_pct,baseline_auc_mean,etree_auc_mean,stg_auc_mean,lspin_auc_mean,etree_auc_delta_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_accuracy_mean,etree_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,etree_accuracy_delta_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
Breast,24481,24481,1.0,100.0,0.7584545454545454,0.7584545454545454,0.7584545454545454,0.7584545454545454,0.0,0.0,0.0,0.7010526315789474,0.7010526315789474,0.7010526315789474,0.7010526315789474,0.0,0.0,0.0
Breast,24481,22033,0.9,90.0,0.7584545454545454,0.7577171717171717,0.7619595959595958,0.7707474747474746,-0.0007373737373737033,0.0035050505050505222,0.01229292929292931,0.7010526315789474,0.6805263157894738,0.7010526315789474,0.6805263157894736,-0.02052631578947366,0.0,-0.02052631578947368
Breast,24481,19585,0.8,80.0,0.7584545454545454,0.7573535353535353,0.7508484848484848,0.7449191919191918,-0.0011010101010100692,-0.007606060606060572,-0.013535353535353511,0.7010526315789474,0.7221052631578947,0.6699999999999999,0.6910526315789474,0.021052631578947344,-0.031052631578947377,-0.009999999999999986
Breast,24481,17137,0.7,70.0,0.7584545454545454,0.716929292929293,0.7593535353535353,0.7571313131313131,-0.0415252525252525,0.0008989898989899547,-0.001323232323232304,0.7010526315789474,0.6284210526315789,0.6805263157894738,0.6805263157894736,-0.07263157894736842,-0.02052631578947368,-0.02052631578947368
Breast,24481,14689,0.6,60.0,0.7584545454545454,0.7355151515151516,0.7577373737373737,0.7507272727272728,-0.022939393939393926,-0.0007171717171716941,-0.007727272727272671,0.7010526315789474,0.6805263157894738,0.7015789473684211,0.6699999999999999,-0.02052631578947368,0.0005263157894736636,-0.031052631578947377
Breast,24481,12240,0.5,50.0,0.7584545454545454,0.7426262626262626,0.7344444444444445,0.7428484848484849,-0.015828282828282747,-0.02401010101010097,-0.015606060606060578,0.7010526315789474,0.6700000000000002,0.7215789473684211,0.6399999999999999,-0.031052631578947353,0.02052631578947368,-0.06105263157894738
Breast,24481,9792,0.4,40.0,0.7584545454545454,0.7653737373737374,0.7626262626262627,0.7393737373737373,0.006919191919191947,0.0041717171717172265,-0.019080808080808052,0.7010526315789474,0.6594736842105263,0.6915789473684211,0.6494736842105263,-0.04157894736842105,-0.009473684210526323,-0.05157894736842107
Breast,24481,7344,0.3,30.0,0.7584545454545454,0.7667272727272726,0.744989898989899,0.7514141414141415,0.008272727272727298,-0.013464646464646401,-0.007040404040403958,0.7010526315789474,0.6910526315789474,0.6805263157894738,0.6905263157894737,-0.010000000000000009,-0.02052631578947368,-0.010526315789473707
Breast,24481,4896,0.2,20.0,0.7584545454545454,0.758020202020202,0.7807979797979797,0.7647474747474747,-0.000434343434343365,0.022343434343434377,0.00629292929292935,0.7010526315789474,0.6699999999999999,0.6700000000000002,0.6599999999999999,-0.031052631578947353,-0.031052631578947377,-0.04105263157894736
Breast,24481,2448,0.1,10.0,0.7584545454545454,0.7772929292929293,0.7504848484848485,0.7527575757575757,0.018838383838383876,-0.007969696969696937,-0.005696969696969667,0.7010526315789474,0.7110526315789473,0.6810526315789474,0.6915789473684211,0.009999999999999986,-0.019999999999999997,-0.009473684210526323
Breast,24481,1224,0.05,5.0,0.7584545454545454,0.772020202020202,0.735010101010101,0.7294949494949495,0.013565656565656559,-0.0234444444444444,-0.028959595959595918,0.7010526315789474,0.68,0.6505263157894736,0.711578947368421,-0.021052631578947368,-0.050526315789473676,0.010526315789473672
madelon,500,500,1.0,100.0,0.7671642011834319,0.7671642011834319,0.7671642011834319,0.7671642011834319,0.0,0.0,0.0,0.6992307692307692,0.6992307692307692,0.6992307692307692,0.6992307692307692,0.0,0.0,0.0
madelon,500,450,0.9,90.0,0.7671642011834319,0.7711508875739644,0.7719852071005916,0.7672884615384616,0.003986686390532545,0.004821005917159704,0.00012426035502959286,0.6992307692307692,0.6934615384615386,0.6953846153846154,0.6896153846153845,-0.005769230769230726,-0.0038461538461538325,-0.009615384615384626
madelon,500,400,0.8,80.0,0.7671642011834319,0.7798905325443786,0.7814585798816569,0.767378698224852,0.012726331360946742,0.014294378698224874,0.00021449704142013638,0.6992307692307692,0.7,0.7034615384615386,0.678076923076923,0.0007692307692307887,0.004230769230769238,-0.021153846153846145
madelon,500,350,0.7,70.0,0.7671642011834319,0.7874526627218935,0.7834437869822486,0.756215976331361,0.020288461538461578,0.01627958579881652,-0.010948224852070965,0.6992307692307692,0.6973076923076924,0.7123076923076923,0.6796153846153846,-0.0019230769230768718,0.013076923076923075,-0.01961538461538459
madelon,500,300,0.6,60.0,0.7671642011834319,0.8062736686390531,0.798319526627219,0.7622470414201183,0.03910946745562136,0.03115532544378703,-0.0049171597633135946,0.6992307692307692,0.7238461538461539,0.7130769230769232,0.6873076923076924,0.02461538461538464,0.013846153846153886,-0.01192307692307688
