dataset,fold,p,k,baseline_auc,baseline_accuracy,stg_auc,stg_accuracy,lspin_auc,lspin_accuracy,stg_auc_delta,stg_accuracy_delta,lspin_auc_delta,lspin_accuracy_delta
Breast,1,24481,22032,0.615,0.55,0.65,0.55,0.6,0.55,0.03500000000000003,0.0,-0.015000000000000013,0.0
Breast,2,24481,22032,0.9494949494949495,0.85,0.8484848484848484,0.8,0.9090909090909091,0.85,-0.1010101010101011,-0.04999999999999993,-0.04040404040404044,0.0
Breast,3,24481,22032,0.6277777777777777,0.5789473684210527,0.6333333333333334,0.631578947368421,0.6555555555555556,0.631578947368421,0.005555555555555758,0.05263157894736836,0.0277777777777779,0.05263157894736836
Breast,4,24481,22032,0.8333333333333333,0.8421052631578947,0.8,0.8421052631578947,0.8555555555555556,0.8421052631578947,-0.033333333333333215,0.0,0.022222222222222365,0.0
Breast,5,24481,22032,0.7666666666666667,0.6842105263157895,0.7888888888888889,0.631578947368421,0.7888888888888889,0.631578947368421,0.022222222222222143,-0.052631578947368474,0.022222222222222143,-0.052631578947368474
madelon,1,500,450,0.7570118343195266,0.6884615384615385,0.7669970414201184,0.6865384615384615,0.7424038461538461,0.6673076923076923,0.009985207100591809,-0.0019230769230769162,-0.01460798816568043,-0.02115384615384619
madelon,2,500,450,0.7416124260355029,0.6673076923076923,0.7509097633136094,0.675,0.742758875739645,0.6653846153846154,0.009297337278106443,0.007692307692307776,0.0011464497041421273,-0.0019230769230769162
madelon,3,500,450,0.7916568047337278,0.7173076923076923,0.7879215976331361,0.725,0.7894600591715977,0.7192307692307692,-0.00373520710059172,0.007692307692307665,-0.00219674556213012,0.0019230769230769162
madelon,4,500,450,0.78801775147929,0.7288461538461538,0.8011316568047336,0.7134615384615385,0.8029437869822486,0.725,0.013113905325443653,-0.01538461538461533,0.014926035502958568,-0.0038461538461538325
madelon,5,500,450,0.7575221893491124,0.6942307692307692,0.7557100591715976,0.6692307692307692,0.7588757396449702,0.6711538461538461,-0.0018121301775148035,-0.025000000000000022,0.0013535502958578194,-0.023076923076923106
