dataset,fold,p,k,feature_ratio,feature_pct,baseline_train_auc,baseline_train_accuracy,baseline_auc,baseline_accuracy,stg_train_auc,stg_train_accuracy,stg_auc,stg_accuracy,lspin_train_auc,lspin_train_accuracy,lspin_auc,lspin_accuracy,stg_auc_delta,lspin_auc_delta,stg_accuracy_delta,lspin_accuracy_delta
Breast,1,24481,24481,1,100,1,1,0.615,0.55,1,1,0.615,0.55,1,1,0.615,0.55,0,0,0,0
Breast,2,24481,24481,1,100,1,1,0.9494949494949495,0.85,1,1,0.9494949494949495,0.85,1,1,0.9494949494949495,0.85,0,0,0,0
Breast,3,24481,24481,1,100,1,1,0.6277777777777777,0.5789473684210527,1,1,0.6277777777777777,0.5789473684210527,1,1,0.6277777777777777,0.5789473684210527,0,0,0,0
Breast,4,24481,24481,1,100,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8333333333333333,0.8421052631578947,0,0,0,0
Breast,5,24481,24481,1,100,1,1,0.7666666666666667,0.6842105263157895,1,1,0.7666666666666667,0.6842105263157895,1,1,0.7666666666666667,0.6842105263157895,0,0,0,0
Breast,1,24481,22033,0.9,90,1,1,0.615,0.55,1,1,0.63,0.55,1,1,0.63,0.55,0.015000000000000013,0.015000000000000013,0,0
Breast,2,24481,22033,0.9,90,1,1,0.9494949494949495,0.85,1,1,0.9242424242424243,0.85,1,1,0.8737373737373737,0.8,-0.025252525,-0.075757576,0,-0.05
Breast,3,24481,22033,0.9,90,1,1,0.6277777777777777,0.5789473684210527,1,1,0.611111111,0.631578947,1,1,0.6722222222222222,0.5263157894736842,-0.016666667,0.044444444,0.052631579,-0.052631579
Breast,4,24481,22033,0.9,90,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8222222222222222,0.7894736842105263,1,1,0.8555555555555556,0.7894736842105263,-0.011111111,0.022222222222222365,-0.052631579,-0.052631579
Breast,5,24481,22033,0.9,90,1,1,0.7666666666666667,0.6842105263157895,1,1,0.8222222222222222,0.6842105263157895,1,1,0.8222222222222222,0.7368421052631579,0.055555556,0.055555556,0,0.052631579
Breast,1,24481,19585,0.8,80,1,1,0.615,0.55,1,1,0.63,0.55,1,1,0.615,0.55,0.015000000000000013,0,0,0
Breast,2,24481,19585,0.8,80,1,1,0.9494949494949495,0.85,1,1,0.8686868686868687,0.8,1,1,0.8484848484848485,0.8,-0.080808081,-0.101010101,-0.05,-0.05
Breast,3,24481,19585,0.8,80,1,1,0.6277777777777777,0.5789473684210527,1,1,0.6444444444444444,0.631578947,1,1,0.6166666666666667,0.5789473684210527,0.016666667,-0.011111111,0.052631579,0
Breast,4,24481,19585,0.8,80,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8333333333333333,0.7368421052631579,1,1,0.8333333333333333,0.8421052631578947,0,0,-0.105263158,0
Breast,5,24481,19585,0.8,80,1,1,0.7666666666666667,0.6842105263157895,1,1,0.7777777777777779,0.631578947,1,1,0.8111111111111111,0.6842105263157895,0.011111111111111183,0.044444444,-0.052631579,0
Breast,1,24481,17137,0.7,70,1,1,0.615,0.55,1,1,0.62,0.55,1,1,0.62,0.55,0.005,0.005,0,0
Breast,2,24481,17137,0.7,70,1,1,0.9494949494949495,0.85,1,1,0.898989899,0.8,1,1,0.898989899,0.8,-0.050505051,-0.050505051,-0.05,-0.05
Breast,3,24481,17137,0.7,70,1,1,0.6277777777777777,0.5789473684210527,1,1,0.6222222222222222,0.631578947,1,1,0.6055555555555555,0.631578947,-0.005555556,-0.022222222,0.052631579,0.052631579
Breast,4,24481,17137,0.7,70,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8444444444444446,0.7894736842105263,1,1,0.8555555555555555,0.7368421052631579,0.011111111111111294,0.022222222222222254,-0.052631579,-0.105263158
Breast,5,24481,17137,0.7,70,1,1,0.7666666666666667,0.6842105263157895,1,1,0.8111111111111111,0.631578947,1,1,0.8055555555555556,0.6842105263157895,0.044444444,0.038888889,-0.052631579,0
Breast,1,24481,14689,0.6,60,1,1,0.615,0.55,1,1,0.62,0.5,1,1,0.59,0.55,0.005,-0.025,-0.05,0
Breast,2,24481,14689,0.6,60,1,1,0.9494949494949495,0.85,1,1,0.8686868686868687,0.85,1,1,0.9191919191919193,0.8,-0.080808081,-0.03030303,0,-0.05
Breast,3,24481,14689,0.6,60,1,1,0.6277777777777777,0.5789473684210527,1,1,0.6222222222222221,0.631578947,1,1,0.6444444444444444,0.631578947,-0.005555556,0.016666667,0.052631579,0.052631579
Breast,4,24481,14689,0.6,60,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8666666666666667,0.7894736842105263,1,1,0.8,0.7368421052631579,0.033333333,-0.033333333,-0.052631579,-0.105263158
Breast,5,24481,14689,0.6,60,1,1,0.7666666666666667,0.6842105263157895,1,1,0.8111111111111111,0.7368421052631579,1,1,0.8,0.631578947,0.044444444,0.033333333333333326,0.052631579,-0.052631579
Breast,1,24481,12240,0.5,50,1,1,0.615,0.55,1,1,0.55,0.55,1,1,0.59,0.5,-0.065,-0.025,0,-0.05
Breast,2,24481,12240,0.5,50,1,1,0.9494949494949495,0.85,1,1,0.8888888888888888,0.9,1,1,0.8686868686868687,0.7,-0.060606061,-0.080808081,0.050000000000000044,-0.15
Breast,3,24481,12240,0.5,50,1,1,0.6277777777777777,0.5789473684210527,1,1,0.611111111,0.631578947,1,1,0.6388888888888888,0.5789473684210527,-0.016666667,0.011111111111111183,0.052631579,0
Breast,4,24481,12240,0.5,50,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8555555555555556,0.8421052631578947,1,1,0.8333333333333334,0.7368421052631579,0.022222222222222365,1.1102230246251565e-16,0,-0.105263158
Breast,5,24481,12240,0.5,50,1,1,0.7666666666666667,0.6842105263157895,1,1,0.7666666666666667,0.6842105263157895,1,1,0.7833333333333333,0.6842105263157895,0,0.016666666666666607,0,0
Breast,1,24481,9792,0.4,40,1,1,0.615,0.55,1,1,0.6000000000000001,0.55,1,1,0.5599999999999999,0.45,-0.015,-0.055,0,-0.1
Breast,2,24481,9792,0.4,40,1,1,0.9494949494949495,0.85,1,1,0.8686868686868687,0.75,1,1,0.9090909090909092,0.85,-0.080808081,-0.04040404,-0.1,0
Breast,3,24481,9792,0.4,40,1,1,0.6277777777777777,0.5789473684210527,1,1,0.6444444444444444,0.631578947,1,1,0.6333333333333333,0.5789473684210527,0.016666667,0.005555556,0.052631579,0
Breast,4,24481,9792,0.4,40,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8777777777777779,0.7894736842105263,1,1,0.8166666666666667,0.7368421052631579,0.044444444,-0.016666667,-0.052631579,-0.105263158
Breast,5,24481,9792,0.4,40,1,1,0.7666666666666667,0.6842105263157895,1,1,0.8222222222222222,0.7368421052631579,1,1,0.7777777777777778,0.631578947,0.055555556,0.011111111111111072,0.052631579,-0.052631579
Breast,1,24481,7344,0.3,30,1,1,0.615,0.55,1,1,0.63,0.55,1,1,0.65,0.6,0.015000000000000013,0.035,0,0.05
Breast,2,24481,7344,0.3,30,1,1,0.9494949494949495,0.85,1,1,0.8282828282828283,0.8,1,1,0.8737373737373738,0.8,-0.121212121,-0.075757576,-0.05,-0.05
Breast,3,24481,7344,0.3,30,1,1,0.6277777777777777,0.5789473684210527,1,1,0.6555555555555557,0.631578947,1,1,0.6222222222222222,0.47368421052631576,0.027777777777778012,-0.005555556,0.052631579,-0.105263158
Breast,4,24481,7344,0.3,30,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8444444444444444,0.7894736842105263,1,1,0.8333333333333334,0.8421052631578947,0.011111111111111183,1.1102230246251565e-16,-0.052631579,0
Breast,5,24481,7344,0.3,30,1,1,0.7666666666666667,0.6842105263157895,1,1,0.7666666666666667,0.631578947,1,1,0.7777777777777779,0.7368421052631579,0,0.011111111111111183,-0.052631579,0.052631579
Breast,1,24481,4896,0.2,20,1,1,0.615,0.55,1,1,0.655,0.5,1,1,0.6,0.5,0.040000000000000036,-0.015,-0.05,-0.05
Breast,2,24481,4896,0.2,20,1,1,0.9494949494949495,0.85,1,1,0.8989898989898989,0.85,1,1,0.9292929292929293,0.8,-0.050505051,-0.02020202,0,-0.05
Breast,3,24481,4896,0.2,20,1,1,0.6277777777777777,0.5789473684210527,1,1,0.6444444444444445,0.5789473684210527,1,1,0.6500000000000001,0.5789473684210527,0.016666667,0.022222222222222476,0,0
Breast,4,24481,4896,0.2,20,1,1,0.8333333333333333,0.8421052631578947,1,1,0.9333333333333333,0.7894736842105263,1,1,0.8666666666666667,0.7894736842105263,0.10000000000000009,0.033333333,-0.052631579,-0.052631579
Breast,5,24481,4896,0.2,20,1,1,0.7666666666666667,0.6842105263157895,1,1,0.7722222222222223,0.631578947,1,1,0.7777777777777778,0.631578947,0.005555556,0.011111111111111072,-0.052631579,-0.052631579
Breast,1,24481,2448,0.1,10,1,1,0.615,0.55,1,1,0.61,0.55,1,1,0.5850000000000001,0.5,-0.005,-0.03,0,-0.05
Breast,2,24481,2448,0.1,10,1,1,0.9494949494949495,0.85,1,1,0.9090909090909091,0.75,1,1,0.8787878787878788,0.8,-0.04040404,-0.070707071,-0.1,-0.05
Breast,3,24481,2448,0.1,10,1,1,0.6277777777777777,0.5789473684210527,1,1,0.5777777777777777,0.5263157894736842,1,1,0.611111111,0.5789473684210527,-0.05,-0.016666667,-0.052631579,0
Breast,4,24481,2448,0.1,10,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8444444444444446,0.8947368421052632,1,1,0.8888888888888888,0.8421052631578947,0.011111111111111294,0.055555556,0.052631578947368474,0
Breast,5,24481,2448,0.1,10,1,1,0.7666666666666667,0.6842105263157895,1,1,0.8111111111111111,0.6842105263157895,1,1,0.8,0.7368421052631579,0.044444444,0.033333333333333326,0,0.052631579
Breast,1,24481,1224,0.05,5,1,1,0.615,0.55,1,1,0.5700000000000001,0.45,1,1,0.5499999999999999,0.55,-0.045,-0.065,-0.1,0
Breast,2,24481,1224,0.05,5,1,1,0.9494949494949495,0.85,1,1,0.8383838383838383,0.75,1,1,0.9141414141414143,0.85,-0.111111111,-0.035353535,-0.1,0
Breast,3,24481,1224,0.05,5,1,1,0.6277777777777777,0.5789473684210527,1,1,0.6111111111111112,0.5789473684210527,1,1,0.6055555555555555,0.631578947,-0.016666667,-0.022222222,0,0.052631579
Breast,4,24481,1224,0.05,5,1,1,0.8333333333333333,0.8421052631578947,1,1,0.8444444444444444,0.7894736842105263,1,1,0.8888888888888888,0.8947368421052632,0.011111111111111183,0.055555556,-0.052631579,0.052631578947368474
Breast,5,24481,1224,0.05,5,1,1,0.7666666666666667,0.6842105263157895,1,1,0.8111111111111111,0.6842105263157895,1,1,0.688888889,0.631578947,0.044444444,-0.077777778,0,-0.052631579
madelon,1,500,500,1,100,1,1,0.7570118343195266,0.6884615384615385,1,1,0.7570118343195266,0.6884615384615385,1,1,0.7570118343195266,0.6884615384615385,0,0,0,0
madelon,2,500,500,1,100,1,1,0.7416124260355029,0.6673076923076923,1,1,0.7416124260355029,0.6673076923076923,1,1,0.7416124260355029,0.6673076923076923,0,0,0,0
madelon,3,500,500,1,100,1,1,0.7916568047337278,0.7173076923076923,1,1,0.7916568047337278,0.7173076923076923,1,1,0.7916568047337278,0.7173076923076923,0,0,0,0
madelon,4,500,500,1,100,1,1,0.788017751,0.7288461538461538,1,1,0.788017751,0.7288461538461538,1,1,0.788017751,0.7288461538461538,0,0,0,0
madelon,5,500,500,1,100,1,1,0.7575221893491124,0.6942307692307692,1,1,0.7575221893491124,0.6942307692307692,1,1,0.7575221893491124,0.6942307692307692,0,0,0,0
madelon,1,500,450,0.9,90,1,1,0.7570118343195266,0.6884615384615385,1,1,0.7642529585798815,0.6942307692307692,1,1,0.7424038461538461,0.6673076923076923,0.007241124,-0.014607988,0.005769231,-0.021153846
madelon,2,500,450,0.9,90,1,1,0.7416124260355029,0.6673076923076923,1,1,0.7509097633136094,0.675,1,1,0.742758876,0.6653846153846154,0.009297337,0.00114645,0.007692308,-0.001923077
madelon,3,500,450,0.9,90,1,1,0.7916568047337278,0.7173076923076923,1,1,0.7879215976331361,0.725,1,1,0.7894600591715977,0.7192307692307692,-0.003735207,-0.002196746,0.007692308,0.001923077
madelon,4,500,450,0.9,90,1,1,0.788017751,0.7288461538461538,1,1,0.8011316568047336,0.7134615384615385,1,1,0.8029437869822486,0.725,0.013113905325443653,0.014926035502958568,-0.015384615,-0.003846154
madelon,5,500,450,0.9,90,1,1,0.7575221893491124,0.6942307692307692,1,1,0.7557100591715976,0.6692307692307692,1,1,0.7588757396449702,0.6711538461538461,-0.00181213,0.00135355,-0.025,-0.023076923
madelon,1,500,400,0.8,80,1,1,0.7570118343195266,0.6884615384615385,1,1,0.7720192307692307,0.7019230769230769,1,1,0.7487426035502959,0.6673076923076923,0.015007396449704169,-0.008269231,0.013461538461538414,-0.021153846
madelon,2,500,400,0.8,80,1,1,0.7416124260355029,0.6673076923076923,1,1,0.7556286982248521,0.6846153846153846,1,1,0.7489940828402366,0.65,0.014016272,0.007381657,0.017307692307692357,-0.017307692
