dataset,feature_selection_method,selection_value,stg_feature_ratio,lspin_feature_ratio,lambda_value,lspin_lambda_value,p,stg_k,lspin_k,stg_selected_features_mean,lspin_selected_features_mean,baseline_train_auc_mean,stg_train_auc_mean,lspin_train_auc_mean,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_train_accuracy_mean,stg_train_accuracy_mean,lspin_train_accuracy_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
madelon,lamda_tuning,stg=0.9|lspin=1e-05,1.0,0.612,0.9,1e-05,500,500,306,500.0,306.0,0.8746747411242604,0.8746747411242604,0.9397119082840237,0.6830621301775148,0.6830621301775148,0.6483520710059171,0.0,-0.03471005917159764,0.7627884615384615,0.7627884615384615,0.8572115384615383,0.6192307692307693,0.6192307692307693,0.6100000000000001,0.0,-0.009230769230769199
madelon,lamda_tuning,stg=1.09999|lspin=0.0001,0.98,0.612,1.0999905824917022,0.0001,500,490,306,490.2,306.0,0.8746747411242604,0.8721549556213019,0.9401083579881657,0.6830621301775148,0.6850621301775147,0.647396449704142,0.0020000000000000018,-0.03566568047337278,0.7627884615384615,0.7608653846153846,0.8550000000000001,0.6192307692307693,0.6176923076923078,0.6042307692307693,-0.0015384615384615107,-0.014999999999999968
madelon,lamda_tuning,stg=1.34442|lspin=0.001,0.604,0.612,1.3444214239671495,0.001,500,302,306,302.0,306.0,0.8746747411242604,0.8462244822485208,0.939555103550296,0.6830621301775148,0.6831775147928995,0.6470887573964497,0.00011538461538458389,-0.03597337278106509,0.7627884615384615,0.7334615384615384,0.8545192307692308,0.6192307692307693,0.6242307692307693,0.6103846153846153,0.005000000000000027,-0.008846153846153837
madelon,lamda_tuning,stg=1.64317|lspin=0.01,0.342,0.612,1.6431676725154982,0.01,500,171,306,170.6,306.0,0.8746747411242604,0.8191135355029587,0.9395772928994084,0.6830621301775148,0.7076952662721894,0.6491508875739644,0.024633136094674546,-0.033911242603550315,0.7627884615384615,0.7105769230769231,0.8530769230769231,0.6192307692307693,0.6342307692307693,0.6069230769230769,0.015000000000000036,-0.012307692307692308
madelon,lamda_tuning,stg=2.0083|lspin=0.1,0.034,0.606,2.0082988502465082,0.1,500,17,303,17.4,302.8,0.8746747411242604,0.803658653846154,0.9402546227810651,0.6830621301775148,0.7639289940828402,0.6481301775147928,0.08086686390532545,-0.03493195266272191,0.7627884615384615,0.7154807692307692,0.8549038461538462,0.6192307692307693,0.6884615384615385,0.6046153846153846,0.06923076923076928,-0.014615384615384586
madelon,lamda_tuning,stg=2.45457|lspin=1,0.016,0.47,2.4545664690000804,1.0,500,8,235,7.6,235.2,0.8746747411242604,0.7747960428994084,0.9679881656804733,0.6830621301775148,0.7507396449704142,0.6312189349112426,0.06767751479289943,-0.051843195266272166,0.7627884615384615,0.680673076923077,0.8983653846153846,0.6192307692307693,0.6661538461538462,0.5815384615384616,0.046923076923076956,-0.03769230769230769
madelon,lamda_tuning,stg=3|lspin=10,0.006,0.004,3.0,10.0,500,3,2,3.4,2.0,0.8746747411242604,0.738505454881657,0.9986176035502957,0.6830621301775148,0.7165325443786982,0.609784023668639,0.03347041420118339,-0.07327810650887576,0.7627884615384615,0.6689423076923077,0.9889423076923076,0.6192307692307693,0.6588461538461539,0.5757692307692308,0.03961538461538465,-0.04346153846153844
RELATHE,lamda_tuning,stg=10.9247|lspin=0.00014678,0.9993058769088385,0.6057380842202684,10.924665632994616,0.00014677992676220705,4322,4319,2618,4318.8,2617.8,0.9752238369042778,0.9763196270646413,0.9904436952384603,0.9310567286792113,0.9350261192023843,0.9108158415343481,0.0039693905231732215,-0.02024088714486314,0.8878731134240251,0.8964560843945841,0.9404332390397092,0.8387952398478713,0.8458152373941848,0.8227137774506195,0.0070199975463133505,-0.016081462397251854
RELATHE,lamda_tuning,stg=10|lspin=1e-05,1.0,0.6057380842202684,10.0,1e-05,4322,4322,2618,4321.8,2617.8,0.9752238369042778,0.9751649612434761,0.9903950583018398,0.9310567286792113,0.9302381882452861,0.9114755572522324,-0.0008185404339250635,-0.01958117142697897,0.8878731134240251,0.8883989679376096,0.9406091378349712,0.8387952398478713,0.83739663844927,0.823410624463256,-0.0013986013986013956,-0.015384615384615375
RELATHE,lamda_tuning,stg=11.9348|lspin=0.00215443,0.9460897732531236,0.6057380842202684,11.934831919273368,0.0021544346900318843,4322,4089,2618,4088.8,2617.8,0.9752238369042778,0.9768465718498888,0.9903759791808484,0.9310567286792113,0.9318049724462675,0.9109545335051712,0.0007482437670561781,-0.020102195174040084,0.8878731134240251,0.893830649060415,0.9376302165274263,0.8387952398478713,0.8402208317997791,0.8220144767513189,0.0014255919519077453,-0.016780763096552565
