dataset,feature_selection_method,selection_value,stg_feature_ratio,lspin_feature_ratio,lambda_value,lspin_lambda_value,p,stg_k,lspin_k,stg_selected_features_mean,lspin_selected_features_mean,baseline_train_auc_mean,stg_train_auc_mean,lspin_train_auc_mean,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_train_accuracy_mean,stg_train_accuracy_mean,lspin_train_accuracy_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
madelon,lamda_tuning,stg=0.9|lspin=0.01,1.0,0.612,0.9,0.01,500,500,306,500.0,306.0,0.8746747411242604,0.8746747411242604,0.9398544748520707,0.6830621301775148,0.6830621301775148,0.6484319526627219,0.0,-0.034630177514792915,0.7627884615384615,0.7627884615384615,0.8569230769230769,0.6192307692307693,0.6192307692307693,0.6069230769230769,0.0,-0.012307692307692308
madelon,lamda_tuning,stg=1.09999|lspin=0.0316228,0.98,0.61,1.0999905824917022,0.03162277660168379,500,490,305,490.2,305.0,0.8746747411242604,0.8721549556213019,0.9400880177514793,0.6830621301775148,0.6850621301775147,0.648576923076923,0.0020000000000000018,-0.034485207100591705,0.7627884615384615,0.7608653846153846,0.8558653846153845,0.6192307692307693,0.6176923076923078,0.6042307692307692,-0.0015384615384615107,-0.014999999999999968
madelon,lamda_tuning,stg=1.34442|lspin=0.1,0.604,0.606,1.3444214239671495,0.1,500,302,303,302.0,302.8,0.8746747411242604,0.8462244822485208,0.9401664201183431,0.6830621301775148,0.6831775147928995,0.6477958579881656,0.00011538461538458389,-0.03526627218934912,0.7627884615384615,0.7334615384615384,0.8550961538461538,0.6192307692307693,0.6242307692307693,0.6038461538461538,0.005000000000000027,-0.015384615384615353
madelon,lamda_tuning,stg=1.64317|lspin=0.316228,0.238,0.576,1.6431676725154982,0.31622776601683794,500,119,288,118.6,288.4,0.8746747411242604,0.8169387943786983,0.9552261464497039,0.6830621301775148,0.6979112426035503,0.6411923076923076,0.014849112426035482,-0.04186982248520712,0.7627884615384615,0.708173076923077,0.8792307692307693,0.6192307692307693,0.6269230769230769,0.5934615384615385,0.007692307692307709,-0.025769230769230746
madelon,lamda_tuning,stg=2.0083|lspin=1,0.042,0.47,2.0082988502465082,1.0,500,21,235,21.0,235.2,0.8746747411242604,0.8084900147928995,0.9680719304733728,0.6830621301775148,0.7659289940828402,0.6325355029585799,0.08286686390532545,-0.0505266272189349,0.7627884615384615,0.7141346153846153,0.898846153846154,0.6192307692307693,0.6857692307692307,0.5842307692307692,0.06653846153846157,-0.03500000000000001
madelon,lamda_tuning,stg=2.45457|lspin=3.16228,0.016,0.024,2.4545664690000804,3.1622776601683795,500,8,12,7.6,11.6,0.8746747411242604,0.7739611686390533,0.9994656065088758,0.6830621301775148,0.7505355029585798,0.6201094674556213,0.06747337278106509,-0.06295266272189345,0.7627884615384615,0.6821153846153847,0.991826923076923,0.6192307692307693,0.6684615384615384,0.5796153846153846,0.04923076923076926,-0.03961538461538461
madelon,lamda_tuning,stg=3|lspin=10,0.008,0.004,3.0,10.0,500,4,2,3.8,2.0,0.8746747411242604,0.7493132396449704,0.9986506102071007,0.6830621301775148,0.733034023668639,0.6143239644970414,0.049971893491124256,-0.06873816568047333,0.7627884615384615,0.6782692307692307,0.9902884615384616,0.6192307692307693,0.6684615384615386,0.5761538461538462,0.04923076923076928,-0.043076923076923054
RELATHE,lamda_tuning,stg=10.9247|lspin=0.130149,0.999074502545118,0.6018047200370199,10.924665632994616,0.1301485632646727,4322,4318,2601,4318.2,2601.0,0.9752238369042778,0.9759852206407194,0.992076950959653,0.9310567286792113,0.931782731678975,0.908025816118724,0.0007260029997637307,-0.023030912560487282,0.8878731134240251,0.8920784146392002,0.9456893283459527,0.8387952398478713,0.8367120598699547,0.8143000858790332,-0.002083179977916827,-0.02449515396883819
RELATHE,lamda_tuning,stg=10|lspin=0.03,1.0,0.6045812124016658,10.0,0.03,4322,4322,2613,4322.0,2612.8,0.9752238369042778,0.9752238369042778,0.9906454303182795,0.9310567286792113,0.9310567286792113,0.909263974277593,0.0,-0.021792754401618163,0.8878731134240251,0.8878731134240251,0.9407841156941327,0.8387952398478713,0.8387952398478713,0.8297215065636119,0.0,-0.009073733284259578
RELATHE,lamda_tuning,stg=11.9348|lspin=0.564622,0.9460897732531236,0.5506709856547894,11.934831919273368,0.564621617328617,4322,4089,2380,4089.0,2380.0,0.9752238369042778,0.9765402052878045,0.9908382975482086,0.9310567286792113,0.93351303136435,0.9060157776130422,0.002456302685138745,-0.025040951066168927,0.8878731134240251,0.8915511787214644,0.943412927794005,0.8387952398478713,0.8493289166973378,0.8262078272604588,0.010533676849466312,-0.012587412587412583
