dataset_name,selector,feature_selection_method,selection_value,fold_count,k_features,Accuracy,AUC,train_Accuracy,train_AUC,baseline_Accuracy,baseline_AUC,baseline_train_Accuracy,baseline_train_AUC,checkpoint_path,checkpoint_status
Breast,concrete_autoencoder,single_split,1,1,1,0.55,0.4696969696969697,0.8701298701298701,0.9183673469387755,0.55,0.7575757575757576,1.0,1.0,/home/fast/ezrashl1/Tabular-Datasets-Benchmark-hub/output/2026-06-25_00-36-53/checkpoints/Breast_k1_concrete_autoencoder.keras,saved
Breast,concrete_autoencoder,single_split,5,1,5,0.55,0.5353535353535352,1.0,1.0,0.55,0.7575757575757576,1.0,1.0,/home/fast/ezrashl1/Tabular-Datasets-Benchmark-hub/output/2026-06-25_00-36-53/checkpoints/Breast_k5_concrete_autoencoder.keras,saved
Breast,concrete_autoencoder,single_split,10,1,10,0.7,0.7777777777777778,1.0,1.0,0.55,0.7575757575757576,1.0,1.0,/home/fast/ezrashl1/Tabular-Datasets-Benchmark-hub/output/2026-06-25_00-36-53/checkpoints/Breast_k10_concrete_autoencoder.keras,saved
Breast,concrete_autoencoder,single_split,30,1,30,0.75,0.6969696969696969,1.0,1.0,0.55,0.7575757575757576,1.0,1.0,/home/fast/ezrashl1/Tabular-Datasets-Benchmark-hub/output/2026-06-25_00-36-53/checkpoints/Breast_k30_concrete_autoencoder.keras,saved
Breast,concrete_autoencoder,single_split,60,1,60,0.75,0.8787878787878788,1.0,1.0,0.55,0.7575757575757576,1.0,1.0,/home/fast/ezrashl1/Tabular-Datasets-Benchmark-hub/output/2026-06-25_00-36-53/checkpoints/Breast_k60_concrete_autoencoder.keras,saved
RELATHE,concrete_autoencoder,single_split,1,1,1,0.5314685314685315,0.5208906127258445,0.5495179666958808,0.5351373658766655,0.8076923076923077,0.9232374312647289,0.838737949167397,0.9579726199120013,/home/fast/ezrashl1/Tabular-Datasets-Benchmark-hub/output/2026-06-25_00-36-53/checkpoints/RELATHE_k1_concrete_autoencoder.keras,saved
RELATHE,concrete_autoencoder,single_split,5,1,5,0.5314685314685315,0.5208906127258445,0.5495179666958808,0.5351373658766655,0.8076923076923077,0.9232374312647289,0.838737949167397,0.9579726199120013,/home/fast/ezrashl1/Tabular-Datasets-Benchmark-hub/output/2026-06-25_00-36-53/checkpoints/RELATHE_k5_concrete_autoencoder.keras,saved
RELATHE,concrete_autoencoder,single_split,10,1,10,0.5314685314685315,0.5361105655930871,0.5495179666958808,0.5741363046810517,0.8076923076923077,0.9232374312647289,0.838737949167397,0.9579726199120013,/home/fast/ezrashl1/Tabular-Datasets-Benchmark-hub/output/2026-06-25_00-36-53/checkpoints/RELATHE_k10_concrete_autoencoder.keras,saved
RELATHE,concrete_autoencoder,single_split,30,1,30,0.5909090909090909,0.5890858208955223,0.621384750219106,0.6292812416609262,0.8076923076923077,0.9232374312647289,0.838737949167397,0.9579726199120013,/home/fast/ezrashl1/Tabular-Datasets-Benchmark-hub/output/2026-06-25_00-36-53/checkpoints/RELATHE_k30_concrete_autoencoder.keras,saved
RELATHE,concrete_autoencoder,single_split,60,1,60,0.583916083916084,0.6223487824037707,0.6415425065731815,0.6851569142169183,0.8076923076923077,0.9232374312647289,0.838737949167397,0.9579726199120013,/home/fast/ezrashl1/Tabular-Datasets-Benchmark-hub/output/2026-06-25_00-36-53/checkpoints/RELATHE_k60_concrete_autoencoder.keras,saved
