dataset,selector,algorithm,selection_value,k_features,epoch,split,train_loss
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,1,train,0.0561590380966663
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,2,train,0.0552396662533283
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,3,train,0.0542388632893562
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,4,train,0.0535765439271926
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,5,train,0.0529052056372165
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,6,train,0.0523107312619686
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,7,train,0.0518246889114379
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,8,train,0.0514197796583175
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,9,train,0.0510100089013576
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,10,train,0.0506322123110294
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,11,train,0.0503451637923717
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,12,train,0.0500462353229522
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,13,train,0.0497750416398048
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,14,train,0.0495281517505645
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,15,train,0.0493023358285427
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,16,train,0.0490973331034183
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,17,train,0.0488967821002006
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,18,train,0.0487223006784915
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,19,train,0.0485810562968254
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,20,train,0.0483912080526351
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,21,train,0.0482532642781734
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,22,train,0.0481111034750938
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,23,train,0.0480434633791446
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,24,train,0.0478708110749721
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,25,train,0.0477388426661491
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,26,train,0.0476575009524822
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,27,train,0.0475806593894958
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,28,train,0.0474323704838752
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,29,train,0.0473564118146896
