dataset,fold,p,k,feature_ratio,feature_pct,baseline_train_auc,baseline_train_accuracy,baseline_auc,baseline_accuracy,stg_train_auc,stg_train_accuracy,stg_auc,stg_accuracy,lspin_train_auc,lspin_train_accuracy,lspin_auc,lspin_accuracy,stg_auc_delta,lspin_auc_delta,stg_accuracy_delta,lspin_accuracy_delta
Breast,1,24481,24481,1.0,100.0,1.0,1.0,0.65,0.5,1.0,1.0,0.67,0.5,1.0,1.0,0.62,0.55,0.020000000000000018,-0.030000000000000027,0.0,0.050000000000000044
Breast,2,24481,24481,1.0,100.0,1.0,1.0,0.898989898989899,0.8,1.0,1.0,0.8888888888888888,0.75,1.0,1.0,0.8787878787878788,0.8,-0.010101010101010166,-0.02020202020202022,-0.050000000000000044,0.0
Breast,3,24481,24481,1.0,100.0,1.0,1.0,0.6444444444444444,0.5789473684210527,1.0,1.0,0.6333333333333334,0.5263157894736842,1.0,1.0,0.5444444444444445,0.5263157894736842,-0.01111111111111096,-0.09999999999999987,-0.052631578947368474,-0.052631578947368474
Breast,4,24481,24481,1.0,100.0,1.0,1.0,0.8555555555555555,0.7894736842105263,1.0,1.0,0.8111111111111112,0.7894736842105263,1.0,1.0,0.8222222222222222,0.7894736842105263,-0.04444444444444429,-0.033333333333333326,0.0,0.0
Breast,5,24481,24481,1.0,100.0,1.0,1.0,0.7777777777777778,0.6842105263157895,1.0,1.0,0.788888888888889,0.631578947368421,1.0,1.0,0.7444444444444445,0.7368421052631579,0.011111111111111183,-0.033333333333333326,-0.052631578947368474,0.05263157894736836
Breast,1,24481,22033,0.9,90.0,1.0,1.0,0.65,0.5,1.0,1.0,0.62,0.55,1.0,1.0,0.64,0.5,-0.030000000000000027,-0.010000000000000009,0.050000000000000044,0.0
Breast,2,24481,22033,0.9,90.0,1.0,1.0,0.898989898989899,0.8,1.0,1.0,0.8787878787878788,0.8,1.0,1.0,0.9191919191919192,0.85,-0.02020202020202022,0.02020202020202022,0.0,0.04999999999999993
Breast,3,24481,22033,0.9,90.0,1.0,1.0,0.6444444444444444,0.5789473684210527,1.0,1.0,0.6222222222222222,0.5263157894736842,1.0,1.0,0.6222222222222222,0.5789473684210527,-0.022222222222222143,-0.022222222222222143,-0.052631578947368474,0.0
Breast,4,24481,22033,0.9,90.0,1.0,1.0,0.8555555555555555,0.7894736842105263,1.0,1.0,0.8888888888888888,0.7368421052631579,1.0,1.0,0.8444444444444444,0.7894736842105263,0.033333333333333326,-0.011111111111111072,-0.052631578947368474,0.0
Breast,5,24481,22033,0.9,90.0,1.0,1.0,0.7777777777777778,0.6842105263157895,1.0,1.0,0.7555555555555555,0.631578947368421,1.0,1.0,0.8,0.631578947368421,-0.022222222222222254,0.022222222222222254,-0.052631578947368474,-0.052631578947368474
Breast,1,24481,19585,0.8,80.0,1.0,1.0,0.65,0.5,1.0,1.0,0.62,0.45,1.0,1.0,0.63,0.6,-0.030000000000000027,-0.020000000000000018,-0.04999999999999999,0.09999999999999998
Breast,2,24481,19585,0.8,80.0,1.0,1.0,0.898989898989899,0.8,1.0,1.0,0.8787878787878788,0.8,1.0,1.0,0.8383838383838385,0.65,-0.02020202020202022,-0.06060606060606055,0.0,-0.15000000000000002
Breast,3,24481,19585,0.8,80.0,1.0,1.0,0.6444444444444444,0.5789473684210527,1.0,1.0,0.6333333333333333,0.5789473684210527,1.0,1.0,0.6444444444444445,0.5789473684210527,-0.011111111111111072,1.1102230246251565e-16,0.0,0.0
Breast,4,24481,19585,0.8,80.0,1.0,1.0,0.8555555555555555,0.7894736842105263,1.0,1.0,0.8777777777777778,0.8421052631578947,1.0,1.0,0.8444444444444444,0.7894736842105263,0.022222222222222254,-0.011111111111111072,0.05263157894736836,0.0
Breast,5,24481,19585,0.8,80.0,1.0,1.0,0.7777777777777778,0.6842105263157895,1.0,1.0,0.8444444444444444,0.7368421052631579,1.0,1.0,0.8,0.631578947368421,0.06666666666666665,0.022222222222222254,0.05263157894736836,-0.052631578947368474
Breast,1,24481,17137,0.7,70.0,1.0,1.0,0.65,0.5,1.0,1.0,0.57,0.55,1.0,1.0,0.6,0.55,-0.08000000000000007,-0.050000000000000044,0.050000000000000044,0.050000000000000044
Breast,2,24481,17137,0.7,70.0,1.0,1.0,0.898989898989899,0.8,1.0,1.0,0.898989898989899,0.8,1.0,1.0,0.898989898989899,0.8,0.0,0.0,0.0,0.0
Breast,3,24481,17137,0.7,70.0,1.0,1.0,0.6444444444444444,0.5789473684210527,1.0,1.0,0.6555555555555556,0.5789473684210527,1.0,1.0,0.6222222222222222,0.5263157894736842,0.011111111111111183,-0.022222222222222143,0.0,-0.052631578947368474
Breast,4,24481,17137,0.7,70.0,1.0,1.0,0.8555555555555555,0.7894736842105263,1.0,1.0,0.8222222222222222,0.7894736842105263,1.0,1.0,0.9111111111111112,0.8947368421052632,-0.033333333333333326,0.05555555555555569,0.0,0.10526315789473684
Breast,5,24481,17137,0.7,70.0,1.0,1.0,0.7777777777777778,0.6842105263157895,1.0,1.0,0.8,0.7894736842105263,1.0,1.0,0.7666666666666666,0.7894736842105263,0.022222222222222254,-0.011111111111111183,0.10526315789473684,0.10526315789473684
Breast,1,24481,14689,0.6,60.0,1.0,1.0,0.65,0.5,1.0,1.0,0.65,0.65,1.0,1.0,0.62,0.55,0.0,-0.030000000000000027,0.15000000000000002,0.050000000000000044
Breast,2,24481,14689,0.6,60.0,1.0,1.0,0.898989898989899,0.8,1.0,1.0,0.8585858585858586,0.8,1.0,1.0,0.9191919191919193,0.8,-0.04040404040404044,0.020202020202020332,0.0,0.0
Breast,3,24481,14689,0.6,60.0,1.0,1.0,0.6444444444444444,0.5789473684210527,1.0,1.0,0.6555555555555556,0.631578947368421,1.0,1.0,0.6333333333333334,0.5789473684210527,0.011111111111111183,-0.01111111111111096,0.05263157894736836,0.0
Breast,4,24481,14689,0.6,60.0,1.0,1.0,0.8555555555555555,0.7894736842105263,1.0,1.0,0.8777777777777778,0.7894736842105263,1.0,1.0,0.7777777777777778,0.7894736842105263,0.022222222222222254,-0.07777777777777772,0.0,0.0
Breast,5,24481,14689,0.6,60.0,1.0,1.0,0.7777777777777778,0.6842105263157895,1.0,1.0,0.8111111111111111,0.6842105263157895,1.0,1.0,0.8222222222222222,0.6842105263157895,0.033333333333333326,0.0444444444444444,0.0,0.0
Breast,1,24481,12240,0.5,50.0,1.0,1.0,0.65,0.5,1.0,1.0,0.63,0.6,1.0,1.0,0.62,0.6,-0.020000000000000018,-0.030000000000000027,0.09999999999999998,0.09999999999999998
Breast,2,24481,12240,0.5,50.0,1.0,1.0,0.898989898989899,0.8,1.0,1.0,0.9090909090909092,0.8,1.0,1.0,0.8585858585858587,0.75,0.010101010101010166,-0.04040404040404033,0.0,-0.050000000000000044
Breast,3,24481,12240,0.5,50.0,1.0,1.0,0.6444444444444444,0.5789473684210527,1.0,1.0,0.6,0.5263157894736842,1.0,1.0,0.6,0.5789473684210527,-0.0444444444444444,-0.0444444444444444,-0.052631578947368474,0.0
Breast,4,24481,12240,0.5,50.0,1.0,1.0,0.8555555555555555,0.7894736842105263,1.0,1.0,0.8222222222222222,0.7894736842105263,1.0,1.0,0.8444444444444444,0.7368421052631579,-0.033333333333333326,-0.011111111111111072,0.0,-0.052631578947368474
Breast,5,24481,12240,0.5,50.0,1.0,1.0,0.7777777777777778,0.6842105263157895,1.0,1.0,0.8,0.6842105263157895,1.0,1.0,0.7777777777777778,0.7368421052631579,0.022222222222222254,0.0,0.0,0.05263157894736836
Breast,1,24481,9792,0.4,40.0,1.0,1.0,0.65,0.5,1.0,1.0,0.57,0.5,1.0,1.0,0.62,0.5,-0.08000000000000007,-0.030000000000000027,0.0,0.0
Breast,2,24481,9792,0.4,40.0,1.0,1.0,0.898989898989899,0.8,1.0,1.0,0.8585858585858586,0.85,1.0,1.0,0.8181818181818181,0.7,-0.04040404040404044,-0.08080808080808088,0.04999999999999993,-0.10000000000000009
Breast,3,24481,9792,0.4,40.0,1.0,1.0,0.6444444444444444,0.5789473684210527,1.0,1.0,0.6555555555555556,0.5789473684210527,1.0,1.0,0.6444444444444445,0.631578947368421,0.011111111111111183,1.1102230246251565e-16,0.0,0.05263157894736836
Breast,4,24481,9792,0.4,40.0,1.0,1.0,0.8555555555555555,0.7894736842105263,1.0,1.0,0.8444444444444444,0.8421052631578947,1.0,1.0,0.8111111111111111,0.7894736842105263,-0.011111111111111072,-0.0444444444444444,0.05263157894736836,0.0
Breast,5,24481,9792,0.4,40.0,1.0,1.0,0.7777777777777778,0.6842105263157895,1.0,1.0,0.8666666666666667,0.7368421052631579,1.0,1.0,0.7777777777777778,0.6842105263157895,0.0888888888888889,0.0,0.05263157894736836,0.0
Breast,1,24481,7344,0.3,30.0,1.0,1.0,0.65,0.5,1.0,1.0,0.5800000000000001,0.5,1.0,1.0,0.63,0.5,-0.06999999999999995,-0.020000000000000018,0.0,0.0
Breast,2,24481,7344,0.3,30.0,1.0,1.0,0.898989898989899,0.8,1.0,1.0,0.8484848484848485,0.75,1.0,1.0,0.8888888888888888,0.85,-0.0505050505050505,-0.010101010101010166,-0.050000000000000044,0.04999999999999993
Breast,3,24481,7344,0.3,30.0,1.0,1.0,0.6444444444444444,0.5789473684210527,1.0,1.0,0.6222222222222222,0.631578947368421,1.0,1.0,0.6333333333333334,0.5789473684210527,-0.022222222222222143,-0.01111111111111096,0.05263157894736836,0.0
Breast,4,24481,7344,0.3,30.0,1.0,1.0,0.8555555555555555,0.7894736842105263,1.0,1.0,0.888888888888889,0.8947368421052632,1.0,1.0,0.8222222222222222,0.8421052631578947,0.03333333333333344,-0.033333333333333326,0.10526315789473684,0.05263157894736836
Breast,5,24481,7344,0.3,30.0,1.0,1.0,0.7777777777777778,0.6842105263157895,1.0,1.0,0.8111111111111111,0.7368421052631579,1.0,1.0,0.8,0.631578947368421,0.033333333333333326,0.022222222222222254,0.05263157894736836,-0.052631578947368474
Breast,1,24481,4896,0.2,20.0,1.0,1.0,0.65,0.5,1.0,1.0,0.6,0.5,1.0,1.0,0.68,0.65,-0.050000000000000044,0.030000000000000027,0.0,0.15000000000000002
