dataset,p,k,feature_ratio,feature_pct,baseline_train_auc_mean,stg_train_auc_mean,lspin_train_auc_mean,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_train_accuracy_mean,stg_train_accuracy_mean,lspin_train_accuracy_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
Breast,24481,24481,1.0,100.0,1.0,1.0,1.0,0.7653535353535353,0.7584444444444445,0.7219797979797979,-0.006909090909090842,-0.043373737373737356,1.0,1.0,1.0,0.6705263157894736,0.6394736842105264,0.6805263157894736,-0.031052631578947398,0.009999999999999986
Breast,24481,22033,0.9,90.0,1.0,1.0,1.0,0.7653535353535353,0.753090909090909,0.7651717171717172,-0.012262626262626263,-0.0001818181818181497,1.0,1.0,1.0,0.6705263157894736,0.6489473684210527,0.6700000000000002,-0.021578947368421076,-0.000526315789473708
Breast,24481,19585,0.8,80.0,1.0,1.0,1.0,0.7653535353535353,0.7708686868686868,0.7514545454545456,0.005515151515151517,-0.013898989898989855,1.0,1.0,1.0,0.6705263157894736,0.6815789473684211,0.65,0.011052631578947347,-0.020526315789473705
Breast,24481,17137,0.7,70.0,1.0,1.0,1.0,0.7653535353535353,0.7493535353535353,0.7597979797979798,-0.015999999999999993,-0.005555555555555536,1.0,1.0,1.0,0.6705263157894736,0.7015789473684212,0.7121052631578948,0.031052631578947377,0.04157894736842105
Breast,24481,14689,0.6,60.0,1.0,1.0,1.0,0.7653535353535353,0.7706060606060605,0.7545050505050505,0.005252525252525264,-0.010848484848484797,1.0,1.0,1.0,0.6705263157894736,0.7110526315789475,0.6805263157894738,0.040526315789473674,0.010000000000000009
Breast,24481,12240,0.5,50.0,1.0,1.0,1.0,0.7653535353535353,0.7522626262626263,0.7401616161616162,-0.013090909090909065,-0.025191919191919165,1.0,1.0,1.0,0.6705263157894736,0.6799999999999999,0.6805263157894738,0.0094736842105263,0.009999999999999964
Breast,24481,9792,0.4,40.0,1.0,1.0,1.0,0.7653535353535353,0.759050505050505,0.7343030303030302,-0.006303030303030299,-0.03105050505050504,1.0,1.0,1.0,0.6705263157894736,0.7015789473684211,0.6610526315789473,0.03105263157894733,-0.009473684210526346
Breast,24481,7344,0.3,30.0,1.0,1.0,1.0,0.7653535353535353,0.7501414141414141,0.7548888888888887,-0.015212121212121166,-0.010464646464646444,1.0,1.0,1.0,0.6705263157894736,0.7026315789473684,0.6805263157894738,0.032105263157894706,0.009999999999999964
Breast,24481,4896,0.2,20.0,1.0,1.0,1.0,0.7653535353535353,0.7505050505050506,0.7543838383838384,-0.014848484848484823,-0.010969696969696918,1.0,1.0,1.0,0.6705263157894736,0.6394736842105263,0.6589473684210526,-0.031052631578947387,-0.011578947368421078
Breast,24481,2448,0.1,10.0,1.0,1.0,1.0,0.7653535353535353,0.7192121212121212,0.7457777777777779,-0.04614141414141413,-0.01957575757575756,1.0,1.0,1.0,0.6705263157894736,0.6489473684210527,0.658421052631579,-0.02157894736842105,-0.012105263157894753
Breast,24481,1224,0.05,5.0,1.0,1.0,1.0,0.7653535353535353,0.7490707070707071,0.7188686868686869,-0.016282828282828253,-0.04648484848484846,1.0,1.0,1.0,0.6705263157894736,0.7115789473684211,0.6394736842105264,0.04105263157894734,-0.031052631578947387
madelon,500,500,1.0,100.0,0.8746747411242604,0.8644776257396452,0.8710625000000001,0.6830621301775148,0.682068047337278,0.6812899408284023,-0.0009940828402366763,-0.0017721893491124518,0.7627884615384615,0.7504807692307691,0.7621153846153846,0.6192307692307693,0.6230769230769231,0.6215384615384616,0.0038461538461538546,0.002307692307692322
madelon,500,450,0.9,90.0,0.8746747411242604,0.8628197115384616,0.8694308431952663,0.6830621301775148,0.6798609467455621,0.678819526627219,-0.003201183431952681,-0.00424260355029582,0.7627884615384615,0.7511538461538462,0.7565384615384615,0.6192307692307693,0.6084615384615385,0.6196153846153847,-0.01076923076923073,0.00038461538461542766
madelon,500,400,0.8,80.0,0.8746747411242604,0.8648555843195267,0.886420673076923,0.6830621301775148,0.6816686390532544,0.6823076923076924,-0.0013934911242603708,-0.0007544378698224774,0.7627884615384615,0.751923076923077,0.7854807692307693,0.6192307692307693,0.6253846153846154,0.615,0.006153846153846176,-0.004230769230769216
madelon,500,350,0.7,70.0,0.8746747411242604,0.8635894970414201,0.8692503698224853,0.6830621301775148,0.6852455621301774,0.6804497041420119,0.0021834319526627065,-0.002612426035502913,0.7627884615384615,0.7545192307692308,0.7652884615384614,0.6192307692307693,0.6192307692307693,0.6192307692307693,2.2204460492503132e-17,2.2204460492503132e-17
madelon,500,300,0.6,60.0,0.8746747411242604,0.8489990754437869,0.8616253698224853,0.6830621301775148,0.6899940828402367,0.6775295857988166,0.006931952662721885,-0.005532544378698256,0.7627884615384615,0.7366346153846154,0.7549038461538462,0.6192307692307693,0.6126923076923078,0.6123076923076923,-0.006538461538461493,-0.0069230769230768765
madelon,500,250,0.5,50.0,0.8746747411242604,0.8330530695266273,0.8654317677514793,0.6830621301775148,0.6906834319526628,0.6726242603550295,0.007621301775147971,-0.01043786982248518,0.7627884615384615,0.720673076923077,0.7579807692307693,0.6192307692307693,0.6176923076923078,0.611923076923077,-0.0015384615384615107,-0.00730769230769226
madelon,500,200,0.4,40.0,0.8746747411242604,0.8228348742603548,0.8508130547337277,0.6830621301775148,0.7004970414201181,0.6639526627218935,0.0174349112426035,-0.0191094674556213,0.7627884615384615,0.7140384615384615,0.7469230769230769,0.6192307692307693,0.6303846153846153,0.6153846153846154,0.01115384615384618,-0.0038461538461538104
madelon,500,150,0.3,30.0,0.8746747411242604,0.8153267381656806,0.8581403476331362,0.6830621301775148,0.6951952662721894,0.6619437869822485,0.01213313609467459,-0.021118343195266287,0.7627884615384615,0.7061538461538461,0.7544230769230769,0.6192307692307693,0.6257692307692307,0.6115384615384615,0.0065384615384615815,-0.007692307692307665
madelon,500,100,0.2,20.0,0.8746747411242604,0.8025101701183432,0.8708696375739645,0.6830621301775148,0.704275147928994,0.6256745562130177,0.021213017751479258,-0.05738757396449705,0.7627884615384615,0.6939423076923077,0.7744230769230769,0.6192307692307693,0.6330769230769231,0.586923076923077,0.013846153846153864,-0.03230769230769228
madelon,500,50,0.1,10.0,0.8746747411242604,0.7789171597633135,0.830526072485207,0.6830621301775148,0.7046213017751479,0.6308372781065088,0.021559171597633164,-0.05222485207100589,0.7627884615384615,0.6739423076923077,0.7388461538461538,0.6192307692307693,0.6288461538461538,0.5961538461538461,0.009615384615384647,-0.02307692307692304
madelon,500,25,0.05,5.0,0.8746747411242604,0.7653518860946746,0.7607912352071006,0.6830621301775148,0.7180739644970415,0.5989408284023667,0.03501183431952668,-0.08412130177514791,0.7627884615384615,0.6610576923076923,0.6819230769230769,0.6192307692307693,0.6373076923076922,0.5680769230769231,0.018076923076923056,-0.051153846153846126
SMK-CAN-187,19993,19993,1.0,100.0,0.999464886964887,0.9991790616790617,0.9993922743922745,0.7508479532163742,0.7496783625730994,0.7527192982456141,-0.0011695906432748649,0.0018713450292398015,0.9852975391498882,0.9852975391498882,0.9853064876957495,0.6837837837837838,0.6783783783783783,0.6941678520625889,-0.005405405405405394,0.010384068278805137
SMK-CAN-187,19993,17994,0.9,90.0,0.999464886964887,0.9992512117512117,0.9992849742849742,0.7508479532163742,0.7528070175438597,0.7499122807017544,0.0019590643274853825,-0.0009356725146199008,0.9852975391498882,0.9866308724832216,0.9906487695749441,0.6837837837837838,0.694452347083926,0.6893314366998577,0.010668563300142254,0.0055476529160739755
SMK-CAN-187,19993,15994,0.8,80.0,0.999464886964887,0.9992146742146742,0.9994255744255744,0.7508479532163742,0.7508187134502924,0.7378070175438596,-2.9239766081867735e-05,-0.01304093567251463,0.9852975391498882,0.9866398210290829,0.9892975391498882,0.6837837837837838,0.7,0.6783783783783784,0.016216216216216252,-0.005405405405405394
SMK-CAN-187,19993,13995,0.7,70.0,0.999464886964887,0.9989293114293115,0.9992484367484368,0.7508479532163742,0.7518128654970759,0.7497076023391812,0.0009649122807017906,-0.001140350877192975,0.9852975391498882,0.9852975391498882,0.9853064876957495,0.6837837837837838,0.6731152204836416,0.6887624466571836,-0.010668563300142209,0.00497866287339972
SMK-CAN-187,19993,11996,0.6,60.0,0.999464886964887,0.9989288489288489,0.9992868242868242,0.7508479532163742,0.7464035087719297,0.7375730994152045,-0.0044444444444444505,-0.013274853801169573,0.9852975391498882,0.9853064876957495,0.9866398210290829,0.6837837837837838,0.6783783783783783,0.7051209103840683,-0.005405405405405394,0.02133712660028453
SMK-CAN-187,19993,9996,0.5,50.0,0.999464886964887,0.9993219743219743,0.9988566988566989,0.7508479532163742,0.7518128654970759,0.7663742690058479,0.0009649122807017463,0.015526315789473699,0.9852975391498882,0.9826308724832215,0.9826308724832215,0.6837837837837838,0.6786628733997155,0.6891891891891891,-0.005120910384068256,0.005405405405405417
SMK-CAN-187,19993,7997,0.4,40.0,0.999464886964887,0.9990717615717616,0.9988562363562364,0.7508479532163742,0.7452923976608187,0.7585964912280702,-0.005555555555555558,0.0077485380116959265,0.9852975391498882,0.9812885906040268,0.9852975391498882,0.6837837837837838,0.6948790896159317,0.7051209103840682,0.011095305832147951,0.021337126600284483
SMK-CAN-187,19993,5998,0.3,30.0,0.999464886964887,0.9983576608576609,0.9983567358567358,0.7508479532163742,0.7459356725146199,0.7537134502923977,-0.004912280701754335,0.002865497076023393,0.9852975391498882,0.9826308724832215,0.9812885906040268,0.6837837837837838,0.6625889046941679,0.6998577524893315,-0.021194879089615905,0.01607396870554765
SMK-CAN-187,19993,3999,0.2,20.0,0.999464886964887,0.9980006105006105,0.9976731601731602,0.7508479532163742,0.7559356725146199,0.7499415204678362,0.005087719298245608,-0.0009064327485380109,0.9852975391498882,0.9772796420581656,0.9786040268456377,0.6837837837837838,0.6836415362731152,0.6893314366998579,-0.00014224751066855835,0.0055476529160739755
SMK-CAN-187,19993,1999,0.1,10.0,0.999464886964887,0.9974636474636475,0.9962773337773339,0.7508479532163742,0.7399122807017544,0.765906432748538,-0.010935672514619844,0.015058479532163771,0.9852975391498882,0.9772796420581656,0.9679194630872484,0.6837837837837838,0.6889046941678522,0.7001422475106687,0.005120910384068278,0.01635846372688481
SMK-CAN-187,19993,1000,0.05,5.0,0.999464886964887,0.9938820438820439,0.994709457209457,0.7508479532163742,0.7383040935672515,0.7404678362573099,-0.012543859649122812,-0.01038011695906429,0.9852975391498882,0.9559015659955257,0.9626040268456375,0.6837837837837838,0.699715504978663,0.7213371266002845,0.015931721194879112,0.03755334281650073
colon,2000,2000,1.0,100.0,1.0,1.0,1.0,0.9199999999999999,0.925,0.91875,0.0050000000000000044,-0.0012499999999999955,1.0,1.0,1.0,0.8538461538461538,0.8051282051282052,0.8051282051282052,-0.048717948717948725,-0.048717948717948725
colon,2000,1800,0.9,90.0,1.0,1.0,1.0,0.9199999999999999,0.9075,0.9025000000000001,-0.0125,-0.01749999999999998,1.0,1.0,1.0,0.8538461538461538,0.8371794871794872,0.8217948717948719,-0.016666666666666673,-0.03205128205128207
