dataset,p,k,feature_ratio,feature_pct,baseline_train_auc_mean,stg_train_auc_mean,lspin_train_auc_mean,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_train_accuracy_mean,stg_train_accuracy_mean,lspin_train_accuracy_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
Breast,24481,24481,1.0,100.0,1.0,1.0,1.0,0.7653535353535353,0.769959595959596,0.7576969696969698,0.0046060606060606135,-0.007656565656565606,1.0,1.0,1.0,0.6705263157894736,0.6915789473684211,0.6905263157894737,0.021052631578947344,0.019999999999999997
Breast,24481,22033,0.9,90.0,1.0,1.0,1.0,0.7653535353535353,0.7443232323232323,0.7396767676767677,-0.021030303030303,-0.02567676767676763,1.0,1.0,1.0,0.6705263157894736,0.6505263157894736,0.6799999999999999,-0.020000000000000018,0.0094736842105263
Breast,24481,19585,0.8,80.0,1.0,1.0,1.0,0.7653535353535353,0.7574949494949494,0.7159191919191918,-0.007858585858585876,-0.04943434343434343,1.0,1.0,1.0,0.6705263157894736,0.6805263157894738,0.64,0.010000000000000009,-0.03052631578947369
Breast,24481,17137,0.7,70.0,1.0,1.0,1.0,0.7653535353535353,0.7403636363636364,0.7427878787878788,-0.02498989898989896,-0.02256565656565652,1.0,1.0,1.0,0.6705263157894736,0.6505263157894736,0.67,-0.020000000000000028,-0.000526315789473708
Breast,24481,14689,0.6,60.0,1.0,1.0,1.0,0.7653535353535353,0.7306464646464648,0.7523030303030303,-0.034707070707070686,-0.013050505050505024,1.0,1.0,1.0,0.6705263157894736,0.7126315789473685,0.68,0.042105263157894715,0.0094736842105263
Breast,24481,12240,0.5,50.0,1.0,1.0,1.0,0.7653535353535353,0.7703232323232323,0.7745050505050506,0.0049696969696970015,0.009151515151515155,1.0,1.0,1.0,0.6705263157894736,0.7215789473684211,0.6915789473684211,0.05105263157894735,0.021052631578947344
Breast,24481,9792,0.4,40.0,1.0,1.0,1.0,0.7653535353535353,0.7414747474747475,0.7765252525252524,-0.023878787878787878,0.011171717171717188,1.0,1.0,1.0,0.6705263157894736,0.7110526315789474,0.7021052631578948,0.04052631578947363,0.03157894736842104
Breast,24481,7344,0.3,30.0,1.0,1.0,1.0,0.7653535353535353,0.7299393939393939,0.740949494949495,-0.03541414141414136,-0.024404040404040407,1.0,1.0,1.0,0.6705263157894736,0.6805263157894738,0.6494736842105263,0.009999999999999986,-0.021052631578947413
Breast,24481,4896,0.2,20.0,1.0,1.0,1.0,0.7653535353535353,0.7359393939393938,0.7404040404040404,-0.029414141414141427,-0.024949494949494923,1.0,1.0,1.0,0.6705263157894736,0.6389473684210526,0.6910526315789474,-0.031578947368421074,0.020526315789473636
Breast,24481,2448,0.1,10.0,1.0,1.0,1.0,0.7653535353535353,0.763070707070707,0.7004646464646465,-0.002282828282828242,-0.06488888888888888,1.0,1.0,1.0,0.6705263157894736,0.7010526315789474,0.6305263157894737,0.030526315789473644,-0.04000000000000002
Breast,24481,1224,0.05,5.0,1.0,1.0,1.0,0.7653535353535353,0.7540404040404042,0.7354343434343434,-0.011313131313131275,-0.02991919191919192,1.0,1.0,1.0,0.6705263157894736,0.6589473684210526,0.6599999999999999,-0.011578947368421088,-0.01052631578947374
madelon,500,500,1.0,100.0,0.8746747411242604,0.8693441198224852,0.8701690088757396,0.6830621301775148,0.679405325443787,0.6835591715976331,-0.0036568047337277587,0.0004970414201184159,0.7627884615384615,0.7554807692307692,0.7575000000000001,0.6192307692307693,0.6092307692307692,0.6238461538461538,-0.009999999999999964,0.004615384615384644
madelon,500,450,0.9,90.0,0.8746747411242604,0.8741225961538461,0.8671928624260354,0.6830621301775148,0.6790798816568048,0.6827159763313609,-0.003982248520710075,-0.0003461538461538405,0.7627884615384615,0.7598076923076924,0.7479807692307693,0.6192307692307693,0.6173076923076923,0.6226923076923077,-0.0019230769230768941,0.0034615384615384716
madelon,500,400,0.8,80.0,0.8746747411242604,0.865495931952663,0.8655491863905326,0.6830621301775148,0.6861656804733729,0.6796627218934911,0.0031035502958580486,-0.0033994082840236527,0.7627884615384615,0.7482692307692307,0.7553846153846153,0.6192307692307693,0.62,0.6115384615384615,0.0007692307692308109,-0.0076923076923076875
madelon,500,350,0.7,70.0,0.8746747411242604,0.8653515162721895,0.8713931213017752,0.6830621301775148,0.6772248520710059,0.6771982248520709,-0.00583727810650887,-0.005863905325443786,0.7627884615384615,0.751826923076923,0.7650961538461538,0.6192307692307693,0.6180769230769231,0.6223076923076923,-0.0011538461538461498,0.0030769230769231103
madelon,500,300,0.6,60.0,0.8746747411242604,0.8557627588757395,0.8826421967455621,0.6830621301775148,0.6713609467455621,0.6780798816568048,-0.011701183431952677,-0.004982248520710053,0.7627884615384615,0.7348076923076923,0.7803846153846153,0.6192307692307693,0.6230769230769231,0.6230769230769231,0.0038461538461538767,0.0038461538461538993
madelon,500,250,0.5,50.0,0.8746747411242604,0.8486349852071005,0.8842150517751481,0.6830621301775148,0.6742781065088757,0.660292899408284,-0.008784023668639063,-0.02276923076923081,0.7627884615384615,0.7273076923076923,0.7787499999999999,0.6192307692307693,0.6196153846153847,0.6192307692307693,0.00038461538461540543,2.2204460492503132e-17
madelon,500,200,0.4,40.0,0.8746747411242604,0.842686575443787,0.8798361686390532,0.6830621301775148,0.6599970414201183,0.6599408284023668,-0.02306508875739648,-0.02312130177514793,0.7627884615384615,0.7267307692307693,0.7771153846153848,0.6192307692307693,0.6142307692307692,0.6111538461538462,-0.0050000000000000044,-0.008076923076923027
madelon,500,150,0.3,30.0,0.8746747411242604,0.8396551405325443,0.8774866863905325,0.6830621301775148,0.6537100591715976,0.6557307692307692,-0.02935207100591717,-0.027331360946745552,0.7627884615384615,0.7270192307692307,0.7739423076923077,0.6192307692307693,0.6157692307692308,0.605,-0.003461538461538427,-0.014230769230769203
madelon,500,100,0.2,20.0,0.8746747411242604,0.806912352071006,0.8530048076923077,0.6830621301775148,0.6459497041420118,0.6279378698224852,-0.03711242603550295,-0.055124260355029576,0.7627884615384615,0.7051923076923077,0.7578846153846154,0.6192307692307693,0.6096153846153847,0.5915384615384616,-0.009615384615384581,-0.027692307692307662
madelon,500,50,0.1,10.0,0.8746747411242604,0.7702886464497041,0.8206288831360947,0.6830621301775148,0.6440621301775148,0.6145443786982249,-0.03899999999999999,-0.06851775147928996,0.7627884615384615,0.6799999999999999,0.734326923076923,0.6192307692307693,0.6123076923076923,0.5857692307692307,-0.0069230769230768765,-0.03346153846153842
madelon,500,25,0.05,5.0,0.8746747411242604,0.7317655325443787,0.78183949704142,0.6830621301775148,0.6508964497041421,0.571050295857988,-0.0321656804733728,-0.11201183431952663,0.7627884615384615,0.6570192307692307,0.6962499999999999,0.6192307692307693,0.6142307692307692,0.5592307692307692,-0.004999999999999982,-0.059999999999999984
SMK-CAN-187,19993,19993,1.0,100.0,0.999464886964887,0.9992863617863618,0.9996424871424872,0.7508479532163742,0.7487426900584796,0.7449415204678363,-0.002105263157894677,-0.005906432748537993,0.9852975391498882,0.9879642058165548,0.9879731543624161,0.6837837837837838,0.6945945945945946,0.688904694167852,0.010810810810810811,0.005120910384068278
SMK-CAN-187,19993,17994,0.9,90.0,0.999464886964887,0.9992845117845117,0.9994274244274244,0.7508479532163742,0.7485964912280703,0.7482748538011696,-0.00225146198830406,-0.0025730994152046273,0.9852975391498882,0.9879731543624161,0.985297539149888,0.6837837837837838,0.6837837837837838,0.6893314366998577,2.2204460492503132e-17,0.005547652916073997
SMK-CAN-187,19993,15994,0.8,80.0,0.999464886964887,0.9995684870684871,0.9994653494653495,0.7508479532163742,0.7466666666666666,0.7565497076023393,-0.0041812865497075965,0.005701754385964941,0.9852975391498882,0.9892975391498882,0.9906577181208054,0.6837837837837838,0.6889046941678522,0.6890469416785205,0.0051209103840683,0.0052631578947368585
SMK-CAN-187,19993,13995,0.7,70.0,0.999464886964887,0.9993941243941243,0.9992137492137493,0.7508479532163742,0.7489473684210526,0.7460526315789474,-0.0019005847953216693,-0.0047953216374268855,0.9852975391498882,0.9893154362416109,0.9839731543624162,0.6837837837837838,0.688904694167852,0.6785206258890468,0.005120910384068278,-0.005263157894736814
SMK-CAN-187,19993,11996,0.6,60.0,0.999464886964887,0.9992854367854369,0.9992858992858993,0.7508479532163742,0.7515497076023391,0.7640350877192983,0.0007017543859649366,0.01318713450292397,0.9852975391498882,0.9893064876957496,0.9853154362416108,0.6837837837837838,0.6837837837837838,0.6890469416785205,2.2204460492503132e-17,0.0052631578947368585
SMK-CAN-187,19993,9996,0.5,50.0,0.999464886964887,0.9993904243904244,0.9986064861064861,0.7508479532163742,0.745701754385965,0.7563742690058479,-0.005146198830409366,0.0055263157894737125,0.9852975391498882,0.9853064876957495,0.9839642058165549,0.6837837837837838,0.6785206258890468,0.7051209103840682,-0.005263157894736814,0.021337126600284508
